REF_DATE,GEO,DGUID,Labour force characteristics,Gender,Age group,Statistics,Data type,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2005-01,New Brunswick,2021A000213,Labour force,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063566,5.2.1.1.1.1,384.2,,,,1
2005-01,New Brunswick,2021A000213,Employment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063567,5.3.1.1.1.1,346.8,,,,1
2005-01,New Brunswick,2021A000213,Full-time employment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063568,5.4.1.1.1.1,292.6,,,,1
2005-01,New Brunswick,2021A000213,Part-time employment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063569,5.5.1.1.1.1,54.2,,,,1
2005-01,New Brunswick,2021A000213,Unemployment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063570,5.6.1.1.1.1,37.4,,,,1
2005-01,New Brunswick,2021A000213,Unemployment rate,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Percent,239,units,0,v2063571,5.7.1.1.1.1,9.7,,,,1
2005-01,New Brunswick,2021A000213,Participation rate,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Percent,239,units,0,v2063572,5.8.1.1.1.1,63.4,,,,1
2005-01,New Brunswick,2021A000213,Employment rate,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Percent,239,units,0,v2063573,5.9.1.1.1.1,57.2,,,,1
2005-01,Quebec,2021A000224,Population,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063754,6.1.1.1.1.1,6129.3,,,,1
2005-01,Quebec,2021A000224,Labour force,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063755,6.2.1.1.1.1,4046.4,,,,1
2005-01,Quebec,2021A000224,Employment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063756,6.3.1.1.1.1,3712.8,,,,1
2005-01,Quebec,2021A000224,Full-time employment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063757,6.4.1.1.1.1,3052.4,,,,1
2005-01,Quebec,2021A000224,Part-time employment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063758,6.5.1.1.1.1,660.4,,,,1
2005-01,Quebec,2021A000224,Unemployment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063759,6.6.1.1.1.1,333.6,,,,1
2005-01,Quebec,2021A000224,Unemployment rate,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Percent,239,units,0,v2063760,6.7.1.1.1.1,8.2,,,,1
2005-01,Quebec,2021A000224,Participation rate,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Percent,239,units,0,v2063761,6.8.1.1.1.1,66.0,,,,1
2005-01,Quebec,2021A000224,Employment rate,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Percent,239,units,0,v2063762,6.9.1.1.1.1,60.6,,,,1
2005-01,Ontario,2021A000235,Population,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063943,7.1.1.1.1.1,9982.1,,,,1
2005-01,Ontario,2021A000235,Labour force,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063944,7.2.1.1.1.1,6782.5,,,,1
2005-01,Ontario,2021A000235,Employment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063945,7.3.1.1.1.1,6330.9,,,,1
2005-01,Ontario,2021A000235,Full-time employment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063946,7.4.1.1.1.1,5138.6,,,,1
2005-01,Ontario,2021A000235,Part-time employment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063947,7.5.1.1.1.1,1192.4,,,,1
2005-01,Ontario,2021A000235,Unemployment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2063948,7.6.1.1.1.1,451.5,,,,1
2005-01,Ontario,2021A000235,Unemployment rate,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Percent,239,units,0,v2063949,7.7.1.1.1.1,6.7,,,,1
2005-01,Ontario,2021A000235,Participation rate,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Percent,239,units,0,v2063950,7.8.1.1.1.1,67.9,,,,1
2005-01,Ontario,2021A000235,Employment rate,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Percent,239,units,0,v2063951,7.9.1.1.1.1,63.4,,,,1
2005-01,Manitoba,2021A000246,Population,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2064132,8.1.1.1.1.1,882.7,,,,1
2005-01,Manitoba,2021A000246,Labour force,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2064133,8.2.1.1.1.1,607.5,,,,1
2005-01,Manitoba,2021A000246,Employment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2064134,8.3.1.1.1.1,576.6,,,,1
2005-01,Manitoba,2021A000246,Full-time employment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2064135,8.4.1.1.1.1,467.6,,,,1
2005-01,Manitoba,2021A000246,Part-time employment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2064136,8.5.1.1.1.1,109.1,,,,1
2005-01,Manitoba,2021A000246,Unemployment,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2064137,8.6.1.1.1.1,30.9,,,,1
2005-01,Manitoba,2021A000246,Unemployment rate,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Percent,239,units,0,v2064138,8.7.1.1.1.1,5.1,,,,1
2005-01,Manitoba,2021A000246,Participation rate,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Percent,239,units,0,v2064139,8.8.1.1.1.1,68.8,,,,1
2005-01,Manitoba,2021A000246,Employment rate,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Percent,239,units,0,v2064140,8.9.1.1.1.1,65.3,,,,1
2005-01,Saskatchewan,2021A000247,Population,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2064321,9.1.1.1.1.1,748.2,,,,1
2005-01,Saskatchewan,2021A000247,Labour force,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2064322,9.2.1.1.1.1,510.5,,,,1
